LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;01/02/2020;8;7;10;7;92;7;6;11;0;1019;0;0;pioggia nebbia 
Milano;02/02/2020;5;2;7;4;97;2;6;11;0;1018;0;0;nebbia 
Milano;03/02/2020;6;3;10;6;96;2;8;15;0;1015;0;0;nebbia 
Milano;04/02/2020;9;6;16;6;66;10;19;48;0;1010;0;0;nebbia 
Milano;05/02/2020;9;3;14;0;30;20;19;48;0;1021;0;0;
Milano;06/02/2020;5;-1;12;0;48;21;5;13;0;1028;0;0;
Milano;07/02/2020;5;-2;13;2;63;20;5;15;0;1026;0;0;
Milano;08/02/2020;6;1;11;1;67;19;4;8;0;1028;0;0;
Milano;09/02/2020;4;-1;9;4;85;9;4;9;0;1029;0;0;pioggia nebbia 
Milano;10/02/2020;7;5;11;6;92;4;5;9;0;1016;0;0;pioggia nebbia 
Milano;11/02/2020;10;1;19;3;57;15;9;22;0;1008;0;0;nebbia 
Milano;12/02/2020;10;2;16;0;35;20;8;18;0;1017;0;0;
Milano;13/02/2020;7;0;11;2;61;21;7;17;0;1019;0;0;pioggia 
Milano;14/02/2020;8;3;15;3;68;19;8;21;0;1018;0;0;pioggia 
Milano;15/02/2020;7;1;13;4;81;11;5;11;0;1027;0;0;
Milano;16/02/2020;8;0;14;4;80;8;4;9;0;1028;0;0;nebbia 
Milano;17/02/2020;10;9;11;9;95;3;3;5;0;1025;0;0;pioggia nebbia 
Milano;18/02/2020;10;6;15;7;85;5;6;11;0;1024;0;0;pioggia 
Milano;19/02/2020;8;3;14;5;77;10;7;13;0;1021;0;0;nebbia 
Milano;20/02/2020;7;1;14;1;50;18;6;11;0;1024;0;0;
Milano;21/02/2020;8;0;16;2;65;20;6;15;0;1023;0;0;
Milano;22/02/2020;8;1;14;2;67;19;4;11;0;1031;0;0;
Milano;23/02/2020;10;4;15;6;73;19;10;21;0;1025;0;0;
Milano;24/02/2020;13;9;19;8;70;15;13;21;0;1018;0;0;
Milano;25/02/2020;11;9;14;8;79;8;3;8;0;1010;0;0;
Milano;26/02/2020;10;7;14;7;57;10;17;31;0;1001;0;0;nebbia 
Milano;27/02/2020;8;1;12;0;38;20;8;15;0;1008;0;0;
Milano;28/02/2020;10;5;16;0;29;19;12;22;0;1015;0;0;
Milano;29/02/2020;7;3;10;4;53;17;6;15;0;1015;0;0;pioggia 
Milano;01/03/2020;7;5;8;5;89;6;5;9;0;1006;0;0;pioggia 
Milano;02/03/2020;5;0;9;4;97;4;11;30;0;997;0;0;pioggia nebbia 
Milano;03/03/2020;8;5;12;5;82;19;8;21;0;998;0;0;pioggia 
Milano;04/03/2020;8;1;13;2;71;19;6;17;0;1010;0;0;nebbia 
Milano;05/03/2020;7;4;10;3;80;13;9;17;0;1008;0;0;pioggia 
Milano;06/03/2020;7;4;11;4;81;17;8;15;0;1000;0;0;pioggia 
Milano;07/03/2020;9;2;16;3;68;12;7;18;0;1011;0;0;nebbia 
Milano;08/03/2020;9;1;14;2;61;21;5;9;0;1020;0;0;
Milano;09/03/2020;8;3;10;3;72;19;6;15;0;1014;0;0;pioggia 
Milano;10/03/2020;10;5;16;3;62;18;8;13;0;1017;0;0;
Milano;11/03/2020;12;4;20;5;64;21;6;11;0;1018;0;0;
Milano;12/03/2020;11;6;15;8;81;14;4;11;0;1019;0;0;
Milano;13/03/2020;15;13;19;10;72;19;9;17;0;1015;0;0;
Milano;14/03/2020;10;5;14;7;79;13;10;18;0;1018;0;0;pioggia 
Milano;15/03/2020;8;4;13;4;77;19;6;15;0;1024;0;0;
Milano;16/03/2020;9;2;15;3;67;20;4;9;0;1026;0;0;
Milano;17/03/2020;10;3;17;4;69;19;4;8;0;1030;0;0;
Milano;18/03/2020;12;4;19;5;67;18;4;9;0;1028;0;0;
Milano;19/03/2020;13;5;20;5;63;18;4;9;0;1025;0;0;
Milano;20/03/2020;12;6;18;7;69;19;5;13;0;1021;0;0;
Milano;21/03/2020;13;6;20;6;63;19;6;11;0;1015;0;0;
Milano;22/03/2020;12;10;15;6;68;14;14;24;0;1018;0;0;pioggia 
Milano;23/03/2020;6;2;10;0;47;20;17;31;0;1027;0;0;
Milano;24/03/2020;6;-1;12;0;49;21;6;22;0;1025;0;0;
Milano;25/03/2020;6;1;9;0;53;20;10;21;0;1021;0;0;pioggia 
Milano;26/03/2020;5;1;7;1;56;21;6;11;0;1016;0;0;
Milano;27/03/2020;10;6;13;3;56;19;8;13;0;1016;0;0;
Milano;28/03/2020;13;8;19;5;60;20;6;11;0;1015;0;0;
Milano;29/03/2020;14;8;19;5;59;20;7;13;0;1012;0;0;pioggia 
Milano;30/03/2020;12;8;15;7;70;19;14;30;0;1013;0;0;pioggia 
Milano;31/03/2020;6;3;10;3;68;19;15;31;0;1021;0;0;pioggia 
Milano;01/04/2020;7;2;10;1;56;20;7;13;0;1021;0;0;
Milano;02/04/2020;9;0;13;0;49;21;4;9;0;1014;0;0;
Milano;03/04/2020;9;2;17;1;56;19;5;11;0;1014;0;0;
Milano;04/04/2020;12;3;19;2;55;18;5;9;0;1020;0;0;
Milano;05/04/2020;13;7;18;2;48;20;6;17;0;1024;0;0;
