Anno;Mese;Media;Massima;Giorno di rilevamento massima;Minima;Giorno di rilevamento minima;Note
2014;1;6;9,6;10;2,1;30;
2014;2;7,5;9,7;22;5;8;
2014;3;11,9;16,5;17;6,5;1;
2014;4;15,4;19,6;26;10,2;19;
2014;5;18,4;21,3;21;13,4;2;
2014;6;22,9;29,7;12;19,1;17;
2014;7;22,6;28,1;19;19;26;
2014;8;22,4;25,6;8;18,7;19;
2014;9;20,2;23,8;8;16,8;24;
2014;10;16,4;20;17;10,3;29;
2014;11;11,3;14,2;9;7,2;27;
2014;12;6,3;12,8;1;-0,3;31;
2013;1;5,4;18;5;0,5;18;
2013;2;5,3;13,7;28;-1;13;
2013;3;8,9;18,7;31;0,9;18;
2013;4;15,4;28,7;18;6,5;8;
2013;5;18;28,8;9;6,9;24;
2013;6;24,3;36,9;18;13,8;28;
2013;7;28,2;38,6;28;20,2;4;
2013;8;26,8;37;5;17,3;26;
2013;9;22,6;32,7;3;14,9;19;
2013;10;16,5;23,8;17;8;10;
2013;11;11,1;22,2;6;1,2;29;
2013;12;7,1;15,7;2;-0,3;11;
2012;1;5,4;17,1;15;-3,3;19;
2012;2;4,1;21,3;27;-5,4;1;
2012;3;14,8;26,8;28;4,5;9;
2012;4;14,4;29,3;29;6,3;2;
2012;5;20,2;33;24;11,5;6;
2012;6;25,8;35,8;30;14,5;21;
2012;7;27,4;36,2;16;18,3;30;
2012;8;28,7;37,8;21;16,8;15;
2012;9;21,9;31,7;3;14,6;29;
2012;10;16,6;25,9;6;6,1;28;
2012;11;11,9;20,5;3;6,6;27;
2012;12;4,6;16,9;9;-1,1;18;
2011;1;4,1;11,4;13;0;24;
2011;2;7,9;17;19;-0,6;3;
2011;3;11;21,8;31;2,3;3;
2011;4;18,4;32,5;9;9,1;15;
2011;5;21,5;31,3;24;12,3;16;
2011;6;22,8;33;29;16,3;2;
2011;7;24,3;32,6;10;15,3;20;
2011;8;27,2;36,2;23;20;11;
2011;9;23,9;31,7;14;15;19;
2011;10;16,2;28,3;3;8,4;23;
2011;11;9,9;19,4;9;2,4;17;
2011;12;6,9;17,1;8;0,1;21;
2010;1;3,1;10,6;15;-1,3;19;
2010;2;6;17;27;-1,3;1;
2010;3;10,3;22,2;28;0,4;9;
2010;4;15,9;28,6;29;6,5;2;
2010;5;18,9;30,2;24;10,3;6;
2010;6;24,4;33,6;30;14,1;21;
2010;7;28,5;36,8;16;18,5;30;
2010;8;24,9;34;21;15,9;15;
2010;9;20,9;29,3;3;12,6;29;
2010;10;14,6;25,4;6;7,2;28;
2010;11;10;18,6;3;1,2;27;
2010;12;3,4;14,1;9;-5;18;
2009;1;3,4;10,8;29;-3,5;4;
2009;2;7,1;17,2;28;1,2;1;
2009;3;12;23,9;18;4,5;22;
2009;4;16,3;26;13;9,3;29;
2009;5;22,9;35,5;25;13,1;1;
2009;6;24,5;33,6;14;14,9;1;
2009;7;27,2;36,5;16;14,4;18;
2009;8;28,2;37,6;19;18,5;4;
2009;9;23,1;32,5;4;15,1;15;
2009;10;16,4;27,6;2;7,8;17;
2009;11;10,5;17,7;10;5,7;11;
2009;12;4,5;14,6;1;-6,1;20;
2008;1;6,7;19,6;27;0,5;4;
2008;2;8,6;17,6;7;0,7;18;
2008;3;12,1;26,1;2;3,9;23;
2008;4;14,5;26,1;23;6,6;14;
2008;5;20,3;29,7;27;13,3;2;
2008;6;24;35,9;26;13,6;14;
2008;7;26,2;35;30;16,9;14;
2008;8;26,6;34,5;5;16,5;16;
2008;9;20,9;32,2;6;12,8;29;
2008;10;17,1;27,1;17;9,6;31;
2008;11;10,5;19,7;2;0,9;28;
2008;12;5,2;14,3;21;-0,6;7;
