AnnoA;AteneoCOD;AteneoNOME;AteneoTIPO;IstitutoTIPO;ClasseNUMERO;ClasseNOME;CorsoNOME;Imm
2018/2019;1501;Milano;S;U;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);456
2018/2019;1501;Milano;S;U;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Infermieristica Pediatrica (Abilitante alla Professione Sanitaria di Infermiere Pediatrico);18
2018/2019;1501;Milano;S;U;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Ostetricia (Abilitante alla Professione Sanitaria di Ostetrica/o);24
2018/2019;1501;Milano;S;U;L/SNT2;Professioni sanitarie della riabilitazione;Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale);62
2018/2019;1501;Milano;S;U;L/SNT2;Professioni sanitarie della riabilitazione;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);44
2018/2019;1501;Milano;S;U;L/SNT2;Professioni sanitarie della riabilitazione;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);36
2018/2019;1501;Milano;S;U;L/SNT2;Professioni sanitarie della riabilitazione;Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia);10
2018/2019;1501;Milano;S;U;L/SNT2;Professioni sanitarie della riabilitazione;Podologia (Abilitante alla Professione Sanitaria di Podologo);15
2018/2019;1501;Milano;S;U;L/SNT2;Professioni sanitarie della riabilitazione;Tecnica della Riabilitazione Psichiatrica (Abilitante alla Professione Sanitaria di Tecnico della Riabilitazione Psichiatrica);16
2018/2019;1501;Milano;S;U;L/SNT2;Professioni sanitarie della riabilitazione;Terapia della Neuro e Psicomotricit… dell'Et… Evolutiva (Abilitante alla Professione Sanitaria di Terapista della Neuro e Psicomotricit… dell'Et… Evolutiva);34
2018/2019;1501;Milano;S;U;L/SNT2;Professioni sanitarie della riabilitazione;Terapia Occupazionale (Abilitante alla Professione Sanitaria di Terapista Occupazionale);12
2018/2019;1501;Milano;S;U;L/SNT3;Professioni sanitarie tecniche;Dietistica (Abilitante alla Professione Sanitaria di Dietista);15
2018/2019;1501;Milano;S;U;L/SNT3;Professioni sanitarie tecniche;Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale);42
2018/2019;1501;Milano;S;U;L/SNT3;Professioni sanitarie tecniche;Tecniche Audiometriche (Abilitante alla Professione Sanitaria di Audiometrista);7
2018/2019;1501;Milano;S;U;L/SNT3;Professioni sanitarie tecniche;Tecniche Audioprotesiche (Abilitante alla Professione Sanitaria di Audioprotesista);11
2018/2019;1501;Milano;S;U;L/SNT3;Professioni sanitarie tecniche;Tecniche di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare (Abilitante alla Professione Sanitaria di Tecnico di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare);6
2018/2019;1501;Milano;S;U;L/SNT3;Professioni sanitarie tecniche;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);28
2018/2019;1501;Milano;S;U;L/SNT3;Professioni sanitarie tecniche;Tecniche di Neurofisiopatologia (Abilitante alla Professione Sanitaria di Tecnico di Neurofisiopatologia);4
2018/2019;1501;Milano;S;U;L/SNT3;Professioni sanitarie tecniche;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);15
2018/2019;1501;Milano;S;U;L/SNT3;Professioni sanitarie tecniche;Tecniche Ortopediche (Abilitante alla Professione Sanitaria di Tecnico Ortopedico);13
2018/2019;1501;Milano;S;U;L/SNT4;Professioni sanitarie della prevenzione;Assistenza Sanitaria (Abilitante alla Professione Sanitaria di Assistente Sanitario);21
2018/2019;1501;Milano;S;U;L/SNT4;Professioni sanitarie della prevenzione;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);15
2018/2019;1501;Milano;S;U;L-1;Beni culturali;Scienze dei Beni Culturali;500
2018/2019;1501;Milano;S;U;L-10;Lettere;Lettere;546
2018/2019;1501;Milano;S;U;L-11;Lingue e culture moderne;Lingue e Letterature Straniere;398
2018/2019;1501;Milano;S;U;L-12;Mediazione linguistica;Mediazione Linguistica e Culturale Applicata all'Ambito Economico, Giuridico e Sociale;613
2018/2019;1501;Milano;S;U;L-13;Scienze biologiche;Scienze Biologiche;214
2018/2019;1501;Milano;S;U;L-14;Scienze dei servizi giuridici;Scienze dei Servizi Giuridici;275
2018/2019;1501;Milano;S;U;L-16;Scienze dell'amministrazione e dell'organizzazione;Management Pubblico e della Sanit…;72
2018/2019;1501;Milano;S;U;L-16;Scienze dell'amministrazione e dell'organizzazione;Scienze del Lavoro dell?Amministrazione e del Management;81
2018/2019;1501;Milano;S;U;L-2;Biotecnologie;Biotecnologia;216
2018/2019;1501;Milano;S;U;L-2;Biotecnologie;Biotecnologie Mediche;94
2018/2019;1501;Milano;S;U;L-20;Scienze della comunicazione;Comunicazione e Societ…;220
2018/2019;1501;Milano;S;U;L-20;Scienze della comunicazione;Scienze Umanistiche per la Comunicazione;210
2018/2019;1501;Milano;S;U;L-22;Scienze delle attivit… motorie e sportive;Scienze Motorie, Sport e Salute;196
2018/2019;1501;Milano;S;U;L-25;Scienze e tecnologie agrarie e forestali;Agrotecnologie per l'Ambiente e il Territorio;61
2018/2019;1501;Milano;S;U;L-25;Scienze e tecnologie agrarie e forestali;Produzione e Protezione delle Piante e dei Sistemi del Verde;70
2018/2019;1501;Milano;S;U;L-25;Scienze e tecnologie agrarie e forestali;Scienze e Tecnologie Agrarie;147
