Tipologia_API;Zona;Data;Valore
uniqueUserZone;OWM Zona9;2020-04-04 00:00:00+02:00;191
uniqueUserZone;OWM Zona8;2020-04-04 00:00:00+02:00;184
uniqueUserZone;OWM Zona7;2020-04-04 00:00:00+02:00;218
uniqueUserZone;OWM Zona6;2020-04-04 00:00:00+02:00;280
uniqueUserZone;OWM Zona5;2020-04-04 00:00:00+02:00;126
uniqueUserZone;OWM Zona4;2020-04-04 00:00:00+02:00;195
uniqueUserZone;OWM Zona3;2020-04-04 00:00:00+02:00;266
uniqueUserZone;OWM Zona2;2020-04-04 00:00:00+02:00;151
uniqueUserZone;OWM Zona1;2020-04-04 00:00:00+02:00;150
uniqueUserZone;OWM Zona9;2020-04-03 00:00:00+02:00;212
uniqueUserZone;OWM Zona8;2020-04-03 00:00:00+02:00;183
uniqueUserZone;OWM Zona7;2020-04-03 00:00:00+02:00;227
uniqueUserZone;OWM Zona6;2020-04-03 00:00:00+02:00;257
uniqueUserZone;OWM Zona5;2020-04-03 00:00:00+02:00;127
uniqueUserZone;OWM Zona4;2020-04-03 00:00:00+02:00;194
uniqueUserZone;OWM Zona3;2020-04-03 00:00:00+02:00;276
uniqueUserZone;OWM Zona2;2020-04-03 00:00:00+02:00;168
uniqueUserZone;OWM Zona1;2020-04-03 00:00:00+02:00;172
uniqueUserZone;OWM Zona9;2020-04-02 00:00:00+02:00;206
uniqueUserZone;OWM Zona8;2020-04-02 00:00:00+02:00;183
uniqueUserZone;OWM Zona7;2020-04-02 00:00:00+02:00;219
uniqueUserZone;OWM Zona6;2020-04-02 00:00:00+02:00;256
uniqueUserZone;OWM Zona5;2020-04-02 00:00:00+02:00;111
uniqueUserZone;OWM Zona4;2020-04-02 00:00:00+02:00;202
uniqueUserZone;OWM Zona3;2020-04-02 00:00:00+02:00;265
uniqueUserZone;OWM Zona2;2020-04-02 00:00:00+02:00;162
uniqueUserZone;OWM Zona1;2020-04-02 00:00:00+02:00;184
uniqueUserZone;OWM Zona9;2020-04-01 00:00:00+02:00;199
uniqueUserZone;OWM Zona8;2020-04-01 00:00:00+02:00;187
uniqueUserZone;OWM Zona7;2020-04-01 00:00:00+02:00;227
uniqueUserZone;OWM Zona6;2020-04-01 00:00:00+02:00;240
uniqueUserZone;OWM Zona5;2020-04-01 00:00:00+02:00;124
uniqueUserZone;OWM Zona4;2020-04-01 00:00:00+02:00;216
uniqueUserZone;OWM Zona3;2020-04-01 00:00:00+02:00;246
uniqueUserZone;OWM Zona2;2020-04-01 00:00:00+02:00;170
uniqueUserZone;OWM Zona1;2020-04-01 00:00:00+02:00;176
uniqueUserZone;OWM Zona9;2020-03-31 00:00:00+02:00;213
uniqueUserZone;OWM Zona8;2020-03-31 00:00:00+02:00;178
uniqueUserZone;OWM Zona7;2020-03-31 00:00:00+02:00;239
uniqueUserZone;OWM Zona6;2020-03-31 00:00:00+02:00;240
uniqueUserZone;OWM Zona5;2020-03-31 00:00:00+02:00;114
uniqueUserZone;OWM Zona4;2020-03-31 00:00:00+02:00;179
uniqueUserZone;OWM Zona3;2020-03-31 00:00:00+02:00;245
uniqueUserZone;OWM Zona2;2020-03-31 00:00:00+02:00;145
uniqueUserZone;OWM Zona1;2020-03-31 00:00:00+02:00;171
uniqueUserZone;OWM Zona9;2020-03-30 00:00:00+02:00;230
uniqueUserZone;OWM Zona8;2020-03-30 00:00:00+02:00;192
uniqueUserZone;OWM Zona7;2020-03-30 00:00:00+02:00;222
uniqueUserZone;OWM Zona6;2020-03-30 00:00:00+02:00;224
uniqueUserZone;OWM Zona5;2020-03-30 00:00:00+02:00;123
uniqueUserZone;OWM Zona4;2020-03-30 00:00:00+02:00;187
uniqueUserZone;OWM Zona3;2020-03-30 00:00:00+02:00;242
uniqueUserZone;OWM Zona2;2020-03-30 00:00:00+02:00;129
uniqueUserZone;OWM Zona1;2020-03-30 00:00:00+02:00;166
uniqueUserZone;OWM Zona9;2020-03-29 00:00:00+01:00;164
uniqueUserZone;OWM Zona8;2020-03-29 00:00:00+01:00;131
